protein1,protein2,symbol1,symbol2,coexpression_both_prior_corrected,experiments_both_prior_corrected,textmining_both_prior_corrected,combined_score
9606.ENSP00000254958,9606.ENSP00000283249,JAG1,ITGB6,0.027111574556829998,0.029197080291970767,0.07106920769266734,119
9606.ENSP00000254958,9606.ENSP00000265371,JAG1,NRP1,0.027111574556829998,0.0,0.3096899903336049,339
9606.ENSP00000254958,9606.ENSP00000379350,JAG1,ITGB1,0.027111574556829998,0.029197080291970767,0.33897079530837315,373
9606.ENSP00000254958,9606.ENSP00000357005,JAG1,F11R,0.027956432719606017,0.028154327424400383,0.09988354657756326,135
9606.ENSP00000254958,9606.ENSP00000418754,JAG1,PTK7,0.008342022940563076,0.20020855057351405,0.19263853444835777,167
9606.ENSP00000254958,9606.ENSP00000339477,JAG1,ICOSLG,0.0,0.031282586027111536,0.09226351310943681,124
9606.ENSP00000254958,9606.ENSP00000378577,JAG1,CLDN3,0.0,0.0,0.19406837805717414,149
9606.ENSP00000254958,9606.ENSP00000376197,JAG1,TFRC,0.002085505735140769,0.013555787278414999,0.15236478735561565,183
9606.ENSP00000254958,9606.ENSP00000256646,JAG1,NOTCH2,0.05351529497728014,0.6293551785890978,0.9903455654732456,995
9606.ENSP00000254958,9606.ENSP00000275493,JAG1,EGFR,0.06569343065693434,0.058394160583941646,0.48321211376553386,514
9606.ENSP00000254958,9606.ENSP00000332118,JAG1,EPHB3,0.008342022940563076,0.05943691345151203,0.24518718990606525,209
9606.ENSP00000254958,9606.ENSP00000309124,JAG1,OLR1,0.01250107374187348,0.06256517205422318,0.424031811030129,443
9606.ENSP00000254958,9606.ENSP00000261023,JAG1,ITGAV,0.07727788222220533,0.013555787278414999,0.4963503649635037,547
9606.ENSP00000254958,9606.ENSP00000317128,JAG1,PLXND1,0.006256517205422307,0.010427528675703845,0.1835245046923879,221
9606.ENSP00000254958,9606.ENSP00000320084,JAG1,CD276,0.03441084462982269,0.008342022940563076,0.14761748910763617,208
9606.ENSP00000254958,9606.ENSP00000367202,JAG1,RECK,0.0,0.0,0.13972888425443175,175
9606.ENSP00000254958,9606.ENSP00000261622,JAG1,SLC7A5,0.0010427528675703845,0.026068821689259614,0.11241832765926452,92
9606.ENSP00000254958,9606.ENSP00000264012,JAG1,CDH3,0.015641293013555768,0.026068821689259614,0.1966736292257859,240
9606.ENSP00000254958,9606.ENSP00000269571,JAG1,ERBB2,0.0,0.058394160583941646,0.4374962622909465,434
9606.ENSP00000254958,9606.ENSP00000260408,JAG1,ADAM10,0.008342022940563076,0.07194994786235664,0.5336317701463877,511
9606.ENSP00000254958,9606.ENSP00000308208,JAG1,MMP14,0.07419529162829286,0.01147028154327423,0.22400919449243806,289
9606.ENSP00000254958,9606.ENSP00000360269,JAG1,TACSTD2,0.026068821689259614,0.0,0.12513034410844637,182
9606.ENSP00000256646,9606.ENSP00000296585,NOTCH2,ITGA2,0.0,0.004171011470281538,0.11774300001848459,145
9606.ENSP00000256646,9606.ENSP00000278742,NOTCH2,ST14,0.0010427528675703845,0.13703120973467975,0.007299270072992692,124
9606.ENSP00000256646,9606.ENSP00000376899,NOTCH2,PTGFRN,0.09125229291460846,0.0,0.15062940302126493,168
9606.ENSP00000256646,9606.ENSP00000379350,NOTCH2,ITGB1,0.045372254075054186,0.029197080291970767,0.22606208022129404,266
9606.ENSP00000256646,9606.ENSP00000265371,NOTCH2,NRP1,0.008342022940563076,0.0,0.16464078305412422,199
9606.ENSP00000256646,9606.ENSP00000418754,NOTCH2,PTK7,0.0,0.20020855057351405,0.03312887838283052,62
9606.ENSP00000256646,9606.ENSP00000261023,NOTCH2,ITGAV,0.05856052261599398,0.013555787278414999,0.18883830371617982,216
9606.ENSP00000256646,9606.ENSP00000317128,NOTCH2,PLXND1,0.03720420450134332,0.010427528675703845,0.07924921793534934,137
9606.ENSP00000256646,9606.ENSP00000332118,NOTCH2,EPHB3,0.0,0.05943691345151203,0.13034410844629818,165
9606.ENSP00000256646,9606.ENSP00000275493,NOTCH2,EGFR,0.04131432529322665,0.10552354566420308,0.6889334454011772,710
9606.ENSP00000256646,9606.ENSP00000376197,NOTCH2,TFRC,0.014598540145985384,0.013555787278414999,0.11816923476727248,148
9606.ENSP00000256646,9606.ENSP00000264012,NOTCH2,CDH3,0.0,0.026068821689259614,0.11867267019760108,145
9606.ENSP00000256646,9606.ENSP00000347672,NOTCH2,VANGL1,0.03232533889468192,0.0,0.0890341324872429,131
9606.ENSP00000256646,9606.ENSP00000367202,NOTCH2,RECK,0.008342022940563076,0.0,0.11366006256517203,157
9606.ENSP00000256646,9606.ENSP00000269571,NOTCH2,ERBB2,0.022818781729751936,0.058394160583941646,0.4394839080072329,440
9606.ENSP00000256646,9606.ENSP00000358501,NOTCH2,CD58,0.08236007920137522,0.056308654848800876,0.1739570568490596,214
9606.ENSP00000256646,9606.ENSP00000308208,NOTCH2,MMP14,0.04850703667902234,0.01147028154327423,0.16037082423144544,195
9606.ENSP00000256646,9606.ENSP00000260408,NOTCH2,ADAM10,0.027111574556829998,0.07194994786235664,0.6778687392693771,675
9606.ENSP00000256646,9606.ENSP00000263735,NOTCH2,EPCAM,0.0,0.0,0.3472367049009385,374
9606.ENSP00000256646,9606.ENSP00000497069,NOTCH2,IGF1R,0.020834398014094035,0.05943691345151203,0.5767336717840208,593
9606.ENSP00000256646,9606.ENSP00000315190,NOTCH2,ITGA3,0.015626070343956244,0.013555787278414999,0.13685614903428478,117
9606.ENSP00000256646,9606.ENSP00000264832,NOTCH2,ICAM1,0.06580651334538812,0.0,0.20542231491136598,253
9606.ENSP00000256646,9606.ENSP00000313875,NOTCH2,CD46,0.07713435419455228,0.06256517205422318,0.03962460896767461,95
9606.ENSP00000256646,9606.ENSP00000351605,NOTCH2,FZD6,0.021897810218978075,0.004171011470281538,0.2127270216520728,230
9606.ENSP00000256646,9606.ENSP00000380227,NOTCH2,ITGA4,0.051772299308129655,0.013555787278414999,0.12279583899199831,156
9606.ENSP00000256646,9606.ENSP00000493716,NOTCH2,EFNB2,0.014598540145985384,0.0,0.27485726028916546,298
9606.ENSP00000256646,9606.ENSP00000398632,NOTCH2,CD44,0.12414630725218856,0.0,0.4721430582995625,511
9606.ENSP00000256646,9606.ENSP00000267101,NOTCH2,ERBB3,0.014598540145985384,0.058394160583941646,0.29041047928575237,286
9606.ENSP00000256646,9606.ENSP00000294304,NOTCH2,LRP5,0.03412161390743096,0.0,0.27302836527013175,307
9606.ENSP00000256646,9606.ENSP00000257770,NOTCH2,NT5E,0.021897810218978075,0.0,0.13772710320208859,185
9606.ENSP00000256646,9606.ENSP00000317272,NOTCH2,MET,0.0,0.060479666319082415,0.33159541188738273,359
9606.ENSP00000256646,9606.ENSP00000263636,NOTCH2,LY75,0.0031282586027111536,0.06256517205422318,0.19985407983855275,203
9606.ENSP00000256646,9606.ENSP00000383053,NOTCH2,EPHB2,0.0,0.1437835510356309,0.15432742440041713,261
9606.ENSP00000256646,9606.ENSP00000442656,NOTCH2,ACVR1B,0.047917701898810505,0.05943691345151203,0.13138686131386867,167
9606.ENSP00000256646,9606.ENSP00000261769,NOTCH2,CDH1,0.0,0.06567603332024896,0.45883409573536915,496
9606.ENSP00000256646,9606.ENSP00000351209,NOTCH2,EPHA2,0.02294056308654846,0.05943691345151203,0.16424934297870675,214
9606.ENSP00000256646,9606.ENSP00000347379,NOTCH2,OCLN,0.014598540145985384,0.14568203540140556,0.09970413654299692,210
9606.ENSP00000256646,9606.ENSP00000406229,NOTCH2,FAT1,0.06071996703204696,0.008342022940563076,0.21976206967415868,249
9606.ENSP00000256646,9606.ENSP00000296474,NOTCH2,MST1R,0.0,0.060479666319082415,0.07716371220020857,115
